Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2019-04-18,Lasith Malinga,4.0,0,37,1,0,1,9.2,Sri Lanka,1983-08-28,MI,Delhi,2019
2019-04-18,Jayant Yadav,4.0,0,25,0,0,0,6.2,India,1990-01-22,MI,Delhi,2019
2019-04-18,Jasprit Bumrah,4.0,0,18,2,0,0,4.5,India,1993-12-06,MI,Delhi,2019
2019-04-18,Krunal Pandya,2.0,0,7,1,0,0,3.5,India,1991-03-24,MI,Delhi,2019
2019-04-19,Harry Gurney,4.0,0,42,1,0,3,10.5,England,1986-10-25,KKR,Kolkata,2019
2019-04-19,Sunil Narine,4.0,0,32,1,0,1,8.0,West Indies,1988-05-26,KKR,Kolkata,2019
2019-04-19,Prasidh Krishna,4.0,0,52,0,0,0,13.0,India,1996-02-19,KKR,Kolkata,2019
2019-04-19,Andre Russell,3.0,0,17,1,0,0,5.7,West Indies,1988-04-29,KKR,Kolkata,2019
2019-04-19,Kuldeep Yadav,4.0,0,59,1,0,1,14.8,India,1994-12-14,KKR,Kolkata,2019
2019-04-19,Piyush Chawla,1.0,0,10,0,0,0,10.0,India,1988-12-24,KKR,Kolkata,2019
2019-04-19,Dale Steyn,4.0,0,40,2,0,0,10.0,South Africa,1983-06-27,RCB,Kolkata,2019
2019-04-19,Navdeep Saini,4.0,0,31,1,0,0,7.8,India,1992-11-23,RCB,Kolkata,2019
2019-04-19,Mohammed Siraj,4.0,0,38,0,0,7,9.5,India,1994-03-13,RCB,Kolkata,2019
2019-04-19,Marcus Stoinis,4.0,0,32,1,0,1,8.0,Australia,1989-08-16,RCB,Kolkata,2019
2019-04-19,Yuzvendra Chahal,3.0,0,45,0,0,4,15.0,India,1990-07-23,RCB,Kolkata,2019
2019-04-19,Moeen Ali,1.0,0,13,0,0,0,13.0,England,1987-06-18,RCB,Kolkata,2019
2019-04-20,Stuart Binny,3.0,0,19,1,0,0,6.3,India,1984-06-03,RR,Jaipur,2019
2019-04-20,Dhawal Kulkarni,3.0,0,31,0,0,1,10.3,India,1988-12-10,RR,Jaipur,2019
2019-04-20,Shreyas Gopal,4.0,0,21,2,0,0,5.2,India,1993-09-04,RR,Jaipur,2019
2019-04-20,Jofra Archer,4.0,0,22,1,0,0,5.5,England,1995-04-01,RR,Jaipur,2019
